seed: 502
CheapNet params # : 1390215
Best model saved at epoch 1 with val rmse: 1.5496171
Epoch: 189, Train RMSE: 0.5512256, Val RMSE: 1.2438262, Pearson R: 0.7659480, Spearman R: 0.7785959
Epoch: 190, Train RMSE: 0.5650901, Val RMSE: 1.2391868, Pearson R: 0.7682968, Spearman R: 0.7791061
Epoch: 191, Train RMSE: 0.5853808, Val RMSE: 1.2606922, Pearson R: 0.7641479, Spearman R: 0.7736533
Best model saved at epoch 192 with val rmse: 1.2302446
Epoch: 192, Train RMSE: 0.5707714, Val RMSE: 1.2302446, Pearson R: 0.7715579, Spearman R: 0.7822099
Epoch: 193, Train RMSE: 0.5732690, Val RMSE: 1.2906847, Pearson R: 0.7536497, Spearman R: 0.7638443
Epoch: 194, Train RMSE: 0.5551723, Val RMSE: 1.2642144, Pearson R: 0.7585437, Spearman R: 0.7688336
Epoch: 195, Train RMSE: 0.5460784, Val RMSE: 1.2531268, Pearson R: 0.7678830, Spearman R: 0.7806373
Epoch: 196, Train RMSE: 0.5596674, Val RMSE: 1.2647136, Pearson R: 0.7693850, Spearman R: 0.7838947
Epoch: 197, Train RMSE: 0.5368558, Val RMSE: 1.2472885, Pearson R: 0.7663207, Spearman R: 0.7762000
Epoch: 198, Train RMSE: 0.5652537, Val RMSE: 1.2554551, Pearson R: 0.7653650, Spearman R: 0.7749739
Epoch: 199, Train RMSE: 0.5236765, Val RMSE: 1.2543551, Pearson R: 0.7638398, Spearman R: 0.7745992
Epoch: 200, Train RMSE: 0.5439034, Val RMSE: 1.2869516, Pearson R: 0.7557585, Spearman R: 0.7673307
Epoch: 201, Train RMSE: 0.5307073, Val RMSE: 1.2432929, Pearson R: 0.7671649, Spearman R: 0.7810473
Epoch: 202, Train RMSE: 0.5360237, Val RMSE: 1.2545646, Pearson R: 0.7656576, Spearman R: 0.7815458
Epoch: 203, Train RMSE: 0.5394019, Val RMSE: 1.2386440, Pearson R: 0.7689880, Spearman R: 0.7789666
Epoch: 204, Train RMSE: 0.5567792, Val RMSE: 1.2565255, Pearson R: 0.7665515, Spearman R: 0.7804461
Epoch: 205, Train RMSE: 0.5474698, Val RMSE: 1.2404346, Pearson R: 0.7685058, Spearman R: 0.7807950
Epoch: 206, Train RMSE: 0.5631364, Val RMSE: 1.2365819, Pearson R: 0.7735290, Spearman R: 0.7834428
Epoch: 207, Train RMSE: 0.5391123, Val RMSE: 1.2655291, Pearson R: 0.7616665, Spearman R: 0.7756280
Epoch: 208, Train RMSE: 0.5612679, Val RMSE: 1.2677508, Pearson R: 0.7588820, Spearman R: 0.7680737
Epoch: 209, Train RMSE: 0.5718616, Val RMSE: 1.2716902, Pearson R: 0.7596341, Spearman R: 0.7701073
Epoch: 210, Train RMSE: 0.5225792, Val RMSE: 1.2368486, Pearson R: 0.7692275, Spearman R: 0.7760720
Best model saved at epoch 211 with val rmse: 1.2261335
Epoch: 211, Train RMSE: 0.5302671, Val RMSE: 1.2261335, Pearson R: 0.7745779, Spearman R: 0.7824443
Epoch: 212, Train RMSE: 0.5092065, Val RMSE: 1.2284416, Pearson R: 0.7728076, Spearman R: 0.7841897
Best model saved at epoch 213 with val rmse: 1.2201895
Epoch: 213, Train RMSE: 0.5430136, Val RMSE: 1.2201895, Pearson R: 0.7768566, Spearman R: 0.7897345
Epoch: 214, Train RMSE: 0.5391196, Val RMSE: 1.2422654, Pearson R: 0.7673647, Spearman R: 0.7787664
